<order:6, edges:8, delta:5, colors: 6, graph:28, type:3, time:5.373533>
<order:6, edges:6, delta:3, colors: 3, graph:29, type:0, time:0.000008>
<order:6, edges:6, delta:3, colors: 3, graph:29, type:1, time:0.000020>
<order:6, edges:6, delta:3, colors: 4, graph:29, type:2, time:0.000227>
<order:6, edges:6, delta:3, colors: 4, graph:29, type:3, time:0.064329>
<order:6, edges:6, delta:3, colors: 3, graph:30, type:0, time:0.000009>
<order:6, edges:6, delta:3, colors: 3, graph:30, type:1, time:0.000027>
<order:6, edges:6, delta:3, colors: 4, graph:30, type:2, time:0.000287>
<order:6, edges:6, delta:3, colors: 4, graph:30, type:3, time:0.129502>
<order:6, edges:6, delta:3, colors: 2, graph:31, type:0, time:0.000005>
<order:6, edges:6, delta:3, colors: 2, graph:31, type:1, time:0.000022>
<order:6, edges:6, delta:3, colors: 4, graph:31, type:2, time:0.000209>
<order:6, edges:6, delta:3, colors: 4, graph:31, type:3, time:0.125841>
<order:6, edges:7, delta:4, colors: 3, graph:32, type:0, time:0.000025>
<order:6, edges:7, delta:4, colors: 3, graph:32, type:1, time:0.000025>
<order:6, edges:7, delta:4, colors: 5, graph:32, type:2, time:0.002198>
<order:6, edges:7, delta:4, colors: 5, graph:32, type:3, time:0.995103>
<order:6, edges:7, delta:4, colors: 3, graph:33, type:0, time:0.000009>
<order:6, edges:7, delta:4, colors: 3, graph:33, type:1, time:0.000019>
<order:6, edges:7, delta:4, colors: 5, graph:33, type:2, time:0.001161>
<order:6, edges:7, delta:4, colors: 5, graph:33, type:3, time:0.417112>
<order:6, edges:8, delta:5, colors: 3, graph:34, type:0, time:0.000008>
<order:6, edges:8, delta:5, colors: 3, graph:34, type:1, time:0.000020>
<order:6, edges:8, delta:5, colors: 6, graph:34, type:2, time:0.003822>
<order:6, edges:8, delta:5, colors: 6, graph:34, type:3, time:2.161507>
<order:6, edges:8, delta:4, colors: 4, graph:35, type:0, time:0.000022>
<order:6, edges:8, delta:4, colors: 4, graph:35, type:1, time:0.000052>
<order:6, edges:8, delta:4, colors: 5, graph:35, type:2, time:0.004363>
<order:6, edges:8, delta:4, colors: 5, graph:35, type:3, time:9.146856>
<order:6, edges:8, delta:4, colors: 3, graph:36, type:0, time:0.000018>
<order:6, edges:8, delta:4, colors: 3, graph:36, type:1, time:0.000057>
<order:6, edges:8, delta:4, colors: 5, graph:36, type:2, time:0.004061>
<order:6, edges:8, delta:4, colors: 5, graph:36, type:3, time:5.400610>
<order:6, edges:9, delta:5, colors: 4, graph:37, type:0, time:0.000022>
<order:6, edges:9, delta:5, colors: 4, graph:37, type:1, time:0.000060>
<order:6, edges:9, delta:5, colors: 6, graph:37, type:2, time:0.013946>
<order:6, edges:9, delta:5, colors: 6, graph:37, type:3, time:37.836956>
<order:6, edges:7, delta:3, colors: 3, graph:38, type:0, time:0.000008>
<order:6, edges:7, delta:3, colors: 3, graph:38, type:1, time:0.000019>
<order:6, edges:7, delta:3, colors: 4, graph:38, type:2, time:0.002174>
<order:6, edges:7, delta:3, colors: 4, graph:38, type:3, time:0.514447>
<order:6, edges:8, delta:4, colors: 3, graph:39, type:0, time:0.000026>
<order:6, edges:8, delta:4, colors: 3, graph:39, type:1, time:0.000028>
<order:6, edges:8, delta:4, colors: 5, graph:39, type:2, time:0.004882>
<order:6, edges:8, delta:4, colors: 5, graph:39, type:3, time:5.734669>
<order:6, edges:8, delta:4, colors: 3, graph:40, type:0, time:0.000016>
<order:6, edges:8, delta:4, colors: 3, graph:40, type:1, time:0.000020>
<order:6, edges:8, delta:4, colors: 5, graph:40, type:2, time:0.004008>
<order:6, edges:8, delta:4, colors: 5, graph:40, type:3, time:5.442079>
<order:6, edges:8, delta:4, colors: 3, graph:41, type:0, time:0.000013>
<order:6, edges:8, delta:4, colors: 3, graph:41, type:1, time:0.000022>
<order:6, edges:8, delta:4, colors: 5, graph:41, type:2, time:0.003762>
<order:6, edges:8, delta:4, colors: 5, graph:41, type:3, time:9.415492>
<order:6, edges:8, delta:4, colors: 3, graph:42, type:0, time:0.000010>
<order:6, edges:8, delta:4, colors: 3, graph:42, type:1, time:0.000029>
<order:6, edges:8, delta:4, colors: 5, graph:42, type:2, time:0.003701>
<order:6, edges:8, delta:4, colors: 5, graph:42, type:3, time:5.388213>
<order:6, edges:9, delta:5, colors: 3, graph:43, type:0, time:0.000010>
<order:6, edges:9, delta:5, colors: 3, graph:43, type:1, time:0.000030>
<order:6, edges:9, delta:5, colors: 6, graph:43, type:2, time:0.015281>
<order:6, edges:9, delta:5, colors: 6, graph:43, type:3, time:38.007955>
<order:6, edges:9, delta:4, colors: 3, graph:44, type:0, time:0.000013>
<order:6, edges:9, delta:4, colors: 3, graph:44, type:1, time:0.000043>
<order:6, edges:9, delta:4, colors: 5, graph:44, type:2, time:0.026749>
<order:6, edges:9, delta:4, colors: 5, graph:44, type:3, time:48.353210>
<order:6, edges:10, delta:5, colors: 4, graph:45, type:0, time:0.000044>
<order:6, edges:10, delta:5, colors: 4, graph:45, type:1, time:0.000143>
<order:6, edges:7, delta:3, colors: 3, graph:46, type:0, time:0.000005>
<order:6, edges:7, delta:3, colors: 3, graph:46, type:1, time:0.000045>
<order:6, edges:7, delta:3, colors: 4, graph:46, type:2, time:0.001149>
<order:6, edges:7, delta:3, colors: 4, graph:46, type:3, time:0.525426>
<order:6, edges:6, delta:2, colors: 2, graph:47, type:0, time:0.000009>
<order:6, edges:6, delta:2, colors: 2, graph:47, type:1, time:0.000023>
<order:6, edges:6, delta:2, colors: 3, graph:47, type:2, time:0.000328>
<order:6, edges:6, delta:2, colors: 3, graph:47, type:3, time:0.023672>
<order:6, edges:7, delta:3, colors: 3, graph:48, type:0, time:0.000005>
<order:6, edges:7, delta:3, colors: 3, graph:48, type:1, time:0.000042>
<order:6, edges:7, delta:3, colors: 4, graph:48, type:2, time:0.000620>
<order:6, edges:7, delta:3, colors: 4, graph:48, type:3, time:0.265678>
<order:6, edges:8, delta:4, colors: 3, graph:49, type:0, time:0.000023>
<order:6, edges:8, delta:4, colors: 3, graph:49, type:1, time:0.000027>
<order:6, edges:8, delta:4, colors: 5, graph:49, type:2, time:0.001079>
<order:6, edges:8, delta:4, colors: 5, graph:49, type:3, time:1.912561>
<order:6, edges:7, delta:3, colors: 3, graph:50, type:0, time:0.000014>
<order:6, edges:7, delta:3, colors: 3, graph:50, type:1, time:0.000020>
<order:6, edges:7, delta:3, colors: 4, graph:50, type:2, time:0.001482>
<order:6, edges:7, delta:3, colors: 4, graph:50, type:3, time:0.529097>
<order:6, edges:7, delta:3, colors: 3, graph:51, type:0, time:0.000032>
<order:6, edges:7, delta:3, colors: 3, graph:51, type:1, time:0.000019>
<order:6, edges:7, delta:3, colors: 4, graph:51, type:2, time:0.000677>
<order:6, edges:7, delta:3, colors: 4, graph:51, type:3, time:0.636633>
<order:6, edges:8, delta:4, colors: 3, graph:52, type:0, time:0.000009>
<order:6, edges:8, delta:4, colors: 3, graph:52, type:1, time:0.000020>
<order:6, edges:8, delta:4, colors: 5, graph:52, type:2, time:0.003637>
<order:6, edges:8, delta:4, colors: 5, graph:52, type:3, time:5.449301>
<order:6, edges:7, delta:3, colors: 2, graph:53, type:0, time:0.000007>
<order:6, edges:7, delta:3, colors: 2, graph:53, type:1, time:0.000013>
<order:6, edges:7, delta:3, colors: 4, graph:53, type:2, time:0.002318>
<order:6, edges:7, delta:3, colors: 4, graph:53, type:3, time:0.636032>
<order:6, edges:8, delta:4, colors: 3, graph:54, type:0, time:0.000010>
<order:6, edges:8, delta:4, colors: 3, graph:54, type:1, time:0.000060>
<order:6, edges:8, delta:4, colors: 5, graph:54, type:2, time:0.001957>
<order:6, edges:8, delta:4, colors: 5, graph:54, type:3, time:5.428553>
<order:6, edges:9, delta:5, colors: 3, graph:55, type:0, time:0.000016>
<order:6, edges:9, delta:5, colors: 3, graph:55, type:1, time:0.000029>
<order:6, edges:9, delta:5, colors: 6, graph:55, type:2, time:0.009677>
<order:6, edges:9, delta:5, colors: 6, graph:55, type:3, time:38.248826>
<order:6, edges:9, delta:4, colors: 3, graph:56, type:0, time:0.000009>
<order:6, edges:9, delta:4, colors: 3, graph:56, type:1, time:0.000035>
<order:6, edges:9, delta:4, colors: 5, graph:56, type:2, time:0.019806>
<order:6, edges:9, delta:4, colors: 5, graph:56, type:3, time:51.361676>
<order:6, edges:9, delta:4, colors: 3, graph:57, type:0, time:0.000013>
<order:6, edges:9, delta:4, colors: 3, graph:57, type:1, time:0.000035>
<order:6, edges:9, delta:4, colors: 5, graph:57, type:2, time:0.015454>
<order:6, edges:9, delta:4, colors: 5, graph:57, type:3, time:32.995391>
